week_start,customer_state,total_orders
2017-04-24,RS,29
2017-04-24,SC,32
2017-04-24,SE,3
2017-04-24,SP,233
2017-04-24,TO,4
2017-05-01,AC,2
2017-05-01,AL,8
2017-05-01,AM,1
2017-05-01,AP,1
2017-05-01,BA,22
2017-05-01,CE,11
2017-05-01,DF,9
2017-05-01,ES,19
2017-05-01,GO,18
2017-05-01,MA,7
2017-05-01,MG,104
2017-05-01,MS,8
2017-05-01,MT,10
2017-05-01,PA,5
2017-05-01,PB,7
2017-05-01,PE,15
2017-05-01,PI,10
2017-05-01,PR,35
2017-05-01,RJ,104
2017-05-01,RN,4
2017-05-01,RO,2
2017-05-01,RS,41
2017-05-01,SC,35
2017-05-01,SE,4
2017-05-01,SP,262
2017-05-01,TO,6
2017-05-08,AC,3
2017-05-08,AL,3
2017-05-08,AM,2
2017-05-08,AP,2
2017-05-08,BA,31
2017-05-08,CE,14
2017-05-08,DF,12
2017-05-08,ES,20
2017-05-08,GO,16
2017-05-08,MA,6
2017-05-08,MG,74
2017-05-08,MS,2
2017-05-08,MT,11
2017-05-08,PA,5
2017-05-08,PB,4
2017-05-08,PE,14
2017-05-08,PI,4
2017-05-08,PR,52
2017-05-08,RJ,90
2017-05-08,RN,5
2017-05-08,RR,2
2017-05-08,RS,51
2017-05-08,SC,25
2017-05-08,SE,5
2017-05-08,SP,295
2017-05-08,TO,5
2017-05-15,AL,7
2017-05-15,AM,1
2017-05-15,BA,27
2017-05-15,CE,13
2017-05-15,DF,15
2017-05-15,ES,19
2017-05-15,GO,20
2017-05-15,MA,6
2017-05-15,MG,119
2017-05-15,MS,6
2017-05-15,MT,4
2017-05-15,PA,13
2017-05-15,PB,3
2017-05-15,PE,16
2017-05-15,PI,4
2017-05-15,PR,56
2017-05-15,RJ,126
2017-05-15,RN,4
2017-05-15,RO,2
2017-05-15,RS,41
2017-05-15,SC,43
2017-05-15,SE,1
2017-05-15,SP,366
2017-05-15,TO,4
2017-05-22,AC,2
2017-05-22,AL,6
2017-05-22,AM,2
2017-05-22,AP,1
2017-05-22,BA,24
2017-05-22,CE,20
2017-05-22,DF,18
2017-05-22,ES,22
2017-05-22,GO,16
2017-05-22,MA,9
2017-05-22,MG,66
2017-05-22,MS,7
2017-05-22,MT,8
2017-05-22,PA,7
2017-05-22,PB,2
2017-05-22,PE,14
2017-05-22,PI,4
2017-05-22,PR,43
2017-05-22,RJ,97
2017-05-22,RN,3
2017-05-22,RO,4
2017-05-22,RS,47
2017-05-22,SC,31
2017-05-22,SE,1
2017-05-22,SP,305
2017-05-22,TO,1
2017-05-29,AC,2
2017-05-29,AL,2
2017-05-29,AM,2
2017-05-29,BA,31
2017-05-29,CE,13
2017-05-29,DF,15
2017-05-29,ES,24
2017-05-29,GO,20
2017-05-29,MA,5
2017-05-29,MG,99
2017-05-29,MS,8
2017-05-29,MT,9
2017-05-29,PA,11
2017-05-29,PB,7
2017-05-29,PE,10
2017-05-29,PI,1
2017-05-29,PR,38
2017-05-29,RJ,106
2017-05-29,RN,4
2017-05-29,RO,2
2017-05-29,RS,56
2017-05-29,SC,23
2017-05-29,SE,1
2017-05-29,SP,310
2017-05-29,TO,1
2017-06-05,AL,5
2017-06-05,AP,1
2017-06-05,BA,20
2017-06-05,CE,9
2017-06-05,DF,19
2017-06-05,ES,21
2017-06-05,GO,21
2017-06-05,MA,4
2017-06-05,MG,85
2017-06-05,MS,6
2017-06-05,MT,8
2017-06-05,PA,12
2017-06-05,PB,8
2017-06-05,PE,13
2017-06-05,PI,3
2017-06-05,PR,47
2017-06-05,RJ,105
2017-06-05,RN,3
2017-06-05,RO,3
2017-06-05,RR,2
2017-06-05,RS,54
2017-06-05,SC,42
2017-06-05,SE,2
2017-06-05,SP,319
2017-06-05,TO,2
2017-06-12,AC,1
2017-06-12,AL,1
2017-06-12,AP,1
2017-06-12,BA,31
2017-06-12,CE,11
2017-06-12,DF,19
2017-06-12,ES,19
2017-06-12,GO,17
2017-06-12,MA,3
2017-06-12,MG,86
2017-06-12,MS,5
2017-06-12,MT,4
2017-06-12,PA,5
2017-06-12,PB,2
2017-06-12,PE,9
2017-06-12,PI,6
2017-06-12,PR,39
2017-06-12,RJ,92
2017-06-12,RN,3
2017-06-12,RO,3
2017-06-12,RS,55
2017-06-12,SC,25
2017-06-12,SE,2
2017-06-12,SP,284
2017-06-12,TO,3
2017-06-19,AC,2
2017-06-19,AL,1
2017-06-19,AM,1
2017-06-19,BA,17
2017-06-19,CE,8
2017-06-19,DF,13
2017-06-19,ES,18
2017-06-19,GO,16
2017-06-19,MA,4
2017-06-19,MG,75
2017-06-19,MS,2
2017-06-19,MT,5
2017-06-19,PA,6
2017-06-19,PB,1
2017-06-19,PE,6
2017-06-19,PI,4
2017-06-19,PR,35
2017-06-19,RJ,86
2017-06-19,RN,1
2017-06-19,RO,1
2017-06-19,RS,41
2017-06-19,SC,15
2017-06-19,SE,1
2017-06-19,SP,275
2017-06-19,TO,1
2017-06-26,AL,3
2017-06-26,AM,1
2017-06-26,BA,23
2017-06-26,CE,10
2017-06-26,DF,11
2017-06-26,ES,13
2017-06-26,GO,15
2017-06-26,MA,2
2017-06-26,MG,85
2017-06-26,MS,9
2017-06-26,MT,3
2017-06-26,PA,8
2017-06-26,PB,8
2017-06-26,PE,9
2017-06-26,PI,2
2017-06-26,PR,36
2017-06-26,RJ,83
2017-06-26,RN,6
2017-06-26,RO,1
2017-06-26,RR,1
2017-06-26,RS,48
2017-06-26,SC,22
2017-06-26,SE,3
2017-06-26,SP,302
2017-06-26,TO,2
2017-07-03,AC,1
2017-07-03,AL,2
2017-07-03,AM,1
2017-07-03,AP,1
2017-07-03,BA,24
2017-07-03,CE,9
2017-07-03,DF,19
2017-07-03,ES,10
2017-07-03,GO,17
2017-07-03,MA,13
2017-07-03,MG,80
2017-07-03,MS,4
2017-07-03,MT,10
2017-07-03,PA,7
2017-07-03,PB,5
2017-07-03,PE,13
2017-07-03,PI,5
2017-07-03,PR,40
2017-07-03,RJ,127
2017-07-03,RN,5
2017-07-03,RO,4
2017-07-03,RS,48
2017-07-03,SC,37
2017-07-03,SE,1
2017-07-03,SP,311
2017-07-10,AC,1
2017-07-10,AL,4
2017-07-10,BA,42
2017-07-10,CE,13
2017-07-10,DF,19
2017-07-10,ES,19
2017-07-10,GO,13
2017-07-10,MA,12
2017-07-10,MG,100
2017-07-10,MS,7
2017-07-10,MT,8
2017-07-10,PA,13
2017-07-10,PB,5
2017-07-10,PE,18
2017-07-10,PI,6
2017-07-10,PR,46
2017-07-10,RJ,123
2017-07-10,RN,4
2017-07-10,RO,4
2017-07-10,RS,62
2017-07-10,SC,37
2017-07-10,SE,2
2017-07-10,SP,367
2017-07-10,TO,1
2017-07-17,AC,2
2017-07-17,AL,5
2017-07-17,AM,2
2017-07-17,BA,42
2017-07-17,CE,14
2017-07-17,DF,20
2017-07-17,ES,15
2017-07-17,GO,22
2017-07-17,MA,4
2017-07-17,MG,108
2017-07-17,MS,3
2017-07-17,MT,8
2017-07-17,PA,8
2017-07-17,PB,7
2017-07-17,PE,14
2017-07-17,PI,4
2017-07-17,PR,46
2017-07-17,RJ,133
2017-07-17,RN,6
2017-07-17,RO,1
2017-07-17,RR,1
2017-07-17,RS,55
2017-07-17,SC,28
2017-07-17,SE,7
2017-07-17,SP,382
2017-07-24,AC,1
2017-07-24,AL,3
2017-07-24,AM,1
2017-07-24,BA,32
2017-07-24,CE,12
2017-07-24,DF,13
2017-07-24,ES,26
2017-07-24,GO,21
2017-07-24,MA,7
2017-07-24,MG,99
2017-07-24,MS,9
2017-07-24,MT,8
2017-07-24,PA,6
2017-07-24,PB,6
2017-07-24,PE,19
2017-07-24,PI,3
2017-07-24,PR,48
2017-07-24,RJ,121
2017-07-24,RN,6
2017-07-24,RO,1
2017-07-24,RS,56
2017-07-24,SC,39
2017-07-24,SE,2
2017-07-24,SP,354
2017-07-31,AC,2
2017-07-31,AL,3
2017-07-31,BA,30
2017-07-31,CE,18
2017-07-31,DF,17
2017-07-31,ES,21
2017-07-31,GO,18
2017-07-31,MA,12
2017-07-31,MG,98
2017-07-31,MS,5
2017-07-31,MT,7
2017-07-31,PA,16
2017-07-31,PB,4
2017-07-31,PE,20
2017-07-31,PI,3
2017-07-31,PR,56
2017-07-31,RJ,133
2017-07-31,RN,5
2017-07-31,RO,3
2017-07-31,RS,71
2017-07-31,SC,40
2017-07-31,SE,3
2017-07-31,SP,369
2017-08-07,AL,2
2017-08-07,AM,2
2017-08-07,AP,2
2017-08-07,BA,26
2017-08-07,CE,13
2017-08-07,DF,19
2017-08-07,ES,25
2017-08-07,GO,19
2017-08-07,MA,5
2017-08-07,MG,116
2017-08-07,MS,6
2017-08-07,MT,6
2017-08-07,PA,6
2017-08-07,PB,2
2017-08-07,PE,20
2017-08-07,PI,3
2017-08-07,PR,59
2017-08-07,RJ,127
2017-08-07,RN,5
2017-08-07,RS,63
2017-08-07,SC,27
2017-08-07,SE,5
2017-08-07,SP,348
2017-08-07,TO,5
2017-08-14,AC,1
2017-08-14,AL,5
2017-08-14,AM,1
2017-08-14,AP,1
2017-08-14,BA,35
2017-08-14,CE,22
2017-08-14,DF,17
2017-08-14,ES,21
2017-08-14,GO,24
2017-08-14,MA,7
2017-08-14,MG,109
2017-08-14,MS,7
2017-08-14,MT,12
2017-08-14,PA,12
2017-08-14,PB,4
2017-08-14,PE,19
2017-08-14,PI,9
2017-08-14,PR,38
2017-08-14,RJ,117
2017-08-14,RN,4
2017-08-14,RS,64
2017-08-14,SC,37
2017-08-14,SE,4
2017-08-14,SP,433
2017-08-14,TO,5
2017-08-21,AC,1
2017-08-21,AL,4
2017-08-21,AM,2
2017-08-21,BA,34
2017-08-21,CE,12
2017-08-21,DF,20
2017-08-21,ES,21
2017-08-21,GO,19
2017-08-21,MA,7
2017-08-21,MG,92
2017-08-21,MS,4
2017-08-21,MT,10
2017-08-21,PA,15
2017-08-21,PB,5
2017-08-21,PE,16
2017-08-21,PI,4
2017-08-21,PR,41
2017-08-21,RJ,98
2017-08-21,RN,3
2017-08-21,RO,3
2017-08-21,RS,71
2017-08-21,SC,29
2017-08-21,SE,1
2017-08-21,SP,346
2017-08-21,TO,4
2017-08-28,AC,2
2017-08-28,AL,7
2017-08-28,AP,1
2017-08-28,BA,42
2017-08-28,CE,18
2017-08-28,DF,25
2017-08-28,ES,18
2017-08-28,GO,15
2017-08-28,MA,14
2017-08-28,MG,112
2017-08-28,MS,4
2017-08-28,MT,7
2017-08-28,PA,10
2017-08-28,PB,2
2017-08-28,PE,19
2017-08-28,PI,3
2017-08-28,PR,49
2017-08-28,RJ,135
2017-08-28,RN,6
2017-08-28,RO,9
2017-08-28,RS,66
2017-08-28,SC,35
2017-08-28,SE,7
2017-08-28,SP,372
2017-08-28,TO,1
2017-09-04,AL,3
2017-09-04,BA,37
2017-09-04,CE,19
2017-09-04,DF,17
2017-09-04,ES,20
2017-09-04,GO,26
2017-09-04,MA,14
2017-09-04,MG,100
2017-09-04,MS,6
2017-09-04,MT,9
2017-09-04,PA,8
2017-09-04,PB,4
2017-09-04,PE,20
2017-09-04,PI,7
2017-09-04,PR,35
2017-09-04,RJ,124
2017-09-04,RN,4
2017-09-04,RO,2
2017-09-04,RS,50
2017-09-04,SC,34
2017-09-04,SE,3
2017-09-04,SP,334
2017-09-04,TO,3
2017-09-11,AC,1
2017-09-11,AL,7
2017-09-11,AM,3
2017-09-11,AP,1
2017-09-11,BA,54
2017-09-11,CE,20
2017-09-11,DF,30
2017-09-11,ES,18
2017-09-11,GO,23
2017-09-11,MA,10
2017-09-11,MG,152
2017-09-11,MS,14
2017-09-11,MT,7
2017-09-11,PA,13
2017-09-11,PB,12
2017-09-11,PE,28
2017-09-11,PI,9
2017-09-11,PR,42
2017-09-11,RJ,155
2017-09-11,RN,7
2017-09-11,RO,2
2017-09-11,RS,80
2017-09-11,SC,42
2017-09-11,SE,2
2017-09-11,SP,400
2017-09-11,TO,4
2017-09-18,AC,2
2017-09-18,AL,5
2017-09-18,AM,3
2017-09-18,BA,32
2017-09-18,CE,14
2017-09-18,DF,16
2017-09-18,ES,18
2017-09-18,GO,18
2017-09-18,MA,7
2017-09-18,MG,102
2017-09-18,MS,9
2017-09-18,MT,7
2017-09-18,PA,12
2017-09-18,PB,6
2017-09-18,PE,11
2017-09-18,PI,4
2017-09-18,PR,49
2017-09-18,RJ,145
2017-09-18,RN,5
2017-09-18,RO,6
2017-09-18,RS,54
2017-09-18,SC,36
2017-09-18,SE,5
2017-09-18,SP,387
2017-09-18,TO,3
2017-09-25,AC,1
2017-09-25,AL,2
2017-09-25,AM,3
2017-09-25,AP,1
2017-09-25,BA,34
2017-09-25,CE,16
2017-09-25,DF,20
2017-09-25,ES,33
2017-09-25,GO,13
2017-09-25,MA,6
2017-09-25,MG,110
2017-09-25,MS,2
2017-09-25,MT,11
2017-09-25,PA,7
2017-09-25,PB,4
2017-09-25,PE,11
2017-09-25,PI,1
2017-09-25,PR,44
2017-09-25,RJ,125
2017-09-25,RN,6
2017-09-25,RO,5
2017-09-25,RR,1
2017-09-25,RS,63
2017-09-25,SC,35
2017-09-25,SE,5
2017-09-25,SP,360
2017-09-25,TO,6
2017-10-02,AC,1
2017-10-02,AL,7
2017-10-02,AM,1
2017-10-02,BA,40
2017-10-02,CE,12
2017-10-02,DF,24
2017-10-02,ES,21
2017-10-02,GO,22
2017-10-02,MA,13
2017-10-02,MG,121
2017-10-02,MS,8
2017-10-02,MT,10
2017-10-02,PA,9
2017-10-02,PB,6
2017-10-02,PE,21
2017-10-02,PI,9
2017-10-02,PR,35
2017-10-02,RJ,137
2017-10-02,RN,1
2017-10-02,RO,3
2017-10-02,RS,54
2017-10-02,SC,33
2017-10-02,SE,5
2017-10-02,SP,379
2017-10-02,TO,3
2017-10-09,AC,2
2017-10-09,AL,4
2017-10-09,BA,44
2017-10-09,CE,13
2017-10-09,DF,15
2017-10-09,ES,27
2017-10-09,GO,22
2017-10-09,MA,12
2017-10-09,MG,130
2017-10-09,MS,7
2017-10-09,MT,15
2017-10-09,PA,12
2017-10-09,PB,6
2017-10-09,PE,17
2017-10-09,PI,3
2017-10-09,PR,43
2017-10-09,RJ,170
2017-10-09,RN,5
2017-10-09,RO,2
2017-10-09,RS,58
2017-10-09,SC,43
2017-10-09,SE,7
2017-10-09,SP,370
2017-10-09,TO,3
2017-10-16,AC,1
2017-10-16,AL,8
2017-10-16,AM,1
2017-10-16,BA,36
2017-10-16,CE,17
2017-10-16,DF,17
2017-10-16,ES,29
2017-10-16,GO,25
2017-10-16,MA,10
2017-10-16,MG,124
2017-10-16,MS,10
2017-10-16,MT,8
2017-10-16,PA,15
2017-10-16,PB,4
2017-10-16,PE,20
2017-10-16,PI,3
2017-10-16,PR,57
2017-10-16,RJ,162
2017-10-16,RN,12
2017-10-16,RO,3
2017-10-16,RR,3
2017-10-16,RS,64
2017-10-16,SC,33
2017-10-16,SE,2
2017-10-16,SP,438
2017-10-16,TO,3
2017-10-23,AL,5
2017-10-23,AM,1
2017-10-23,AP,2
2017-10-23,BA,27
2017-10-23,CE,14
2017-10-23,DF,22
2017-10-23,ES,14
2017-10-23,GO,20
2017-10-23,MA,7
2017-10-23,MG,123
2017-10-23,MS,6
2017-10-23,MT,13
2017-10-23,PA,13
2017-10-23,PB,8
2017-10-23,PE,15
2017-10-23,PI,7
2017-10-23,PR,38
2017-10-23,RJ,136
2017-10-23,RN,3
2017-10-23,RO,4
2017-10-23,RS,50
2017-10-23,SC,46
2017-10-23,SE,6
2017-10-23,SP,367
2017-10-23,TO,3
2017-10-30,AL,8
2017-10-30,AM,1
2017-10-30,AP,1
2017-10-30,BA,26
2017-10-30,CE,15
2017-10-30,DF,24
2017-10-30,ES,16
2017-10-30,GO,25
2017-10-30,MA,11
2017-10-30,MG,91
2017-10-30,MS,11
2017-10-30,MT,12
2017-10-30,PA,15
2017-10-30,PB,4
2017-10-30,PE,14
2017-10-30,PI,3
2017-10-30,PR,47
2017-10-30,RJ,124
2017-10-30,RN,8
2017-10-30,RO,6
2017-10-30,RS,42
2017-10-30,SC,35
2017-10-30,SE,3
2017-10-30,SP,357
2017-10-30,TO,1
2017-11-06,AC,1
2017-11-06,AL,1
2017-11-06,AM,2
2017-11-06,BA,31
2017-11-06,CE,20
2017-11-06,DF,23
2017-11-06,ES,28
2017-11-06,GO,24
2017-11-06,MA,8
2017-11-06,MG,136
2017-11-06,MS,6
2017-11-06,MT,12
2017-11-06,PA,14
2017-11-06,PB,3
2017-11-06,PE,18
2017-11-06,PI,8
2017-11-06,PR,50
2017-11-06,RJ,161
2017-11-06,RN,7
2017-11-06,RO,2
2017-11-06,RS,69
2017-11-06,SC,52
2017-11-06,SE,6
2017-11-06,SP,486
2017-11-13,AC,2
2017-11-13,AL,4
2017-11-13,AM,1
2017-11-13,BA,45
2017-11-13,CE,19
2017-11-13,DF,25
2017-11-13,ES,25
2017-11-13,GO,25
2017-11-13,MA,8
2017-11-13,MG,137
2017-11-13,MS,7
2017-11-13,MT,14
2017-11-13,PA,7
2017-11-13,PB,5
2017-11-13,PE,30
2017-11-13,PI,4
2017-11-13,PR,63
2017-11-13,RJ,167
2017-11-13,RN,8
2017-11-13,RO,2
2017-11-13,RS,71
2017-11-13,SC,48
2017-11-13,SE,5
2017-11-13,SP,529
2017-11-13,TO,8
2017-11-20,AC,1
2017-11-20,AL,14
2017-11-20,AM,3
2017-11-20,AP,2
2017-11-20,BA,109
2017-11-20,CE,43
2017-11-20,DF,65
2017-11-20,ES,75
2017-11-20,GO,71
2017-11-20,MA,21
2017-11-20,MG,400
2017-11-20,MS,19
2017-11-20,MT,29
2017-11-20,PA,26
2017-11-20,PB,9
2017-11-20,PE,45
2017-11-20,PI,11
2017-11-20,PR,136
2017-11-20,RJ,407
2017-11-20,RN,10
2017-11-20,RO,6
2017-11-20,RR,2
2017-11-20,RS,167
2017-11-20,SC,121
2017-11-20,SE,10
2017-11-20,SP,1108
2017-11-20,TO,5
